chapter,location,day,time,type
BNI Aan de Stroom (Antwerpen) - Antwerpen,Antwerpen,Dinsdag,06:45,Offline
BNI aEquus (Waregem) - West Flanders,Waregem,Dinsdag,06:30,Offline
BNI Beveren Waeslandhaven - East Flanders,Beveren,Dinsdag,07:00,Offline
BNI De Zwaan - Kempen en Arr. Mechelen,Heist-op-den-Berg,Dinsdag,06:45,Offline
BNI Groeninghe (Kortrijk) - West Flanders,Harelbeke,Dinsdag,11:45,Offline
BNI Gulden Sporen (Kortrijk) - West Flanders,Harelbeke,Dinsdag,06:30,Offline
BNI Hasselt Capital - Limburg (Belgium),Diepenbeek,Dinsdag,06:45,Offline
BNI Maxima (Gent) - East Flanders,Gent,Dinsdag,07:00,Offline
BNI Mjorebeek (Westmeerbeek) - Limburg (Belgium),Westmeerbeek,Dinsdag,06:45,Offline
BNI NoordLink (Lommel) - Limburg (Belgium),Pelt,Dinsdag,06:30,Offline
BNI Oudenaarde Vlaamse Ardennen (Oudenaarde) - East Flanders,Wortegem-Petegem,Dinsdag,07:00,Offline
BNI Zimmerstad - Kempen en Arr. Mechelen,Lier,Dinsdag,06:30,Offline
