chapter,location,day,time,type
BNI Antwerp MMC (Deurne) - Antwerpen,Deurne,Donderdag,06:45,Offline
BNI Business @ Lunch Time  (Hybrid Lummen) - Limburg (Belgium),Lummen,Donderdag,12:00,Offline
BNI De Linde - Kempen en Arr. Mechelen,Halle - Zoersel,Donderdag,06:30,Offline
BNI de Sleutel (Temse) - East Flanders,Temse,Donderdag,07:00,Offline
BNI Demervallei (Lummen) - Limburg (Belgium),Halen,Donderdag,06:45,Offline
BNI Diamant (Berchem) - Antwerpen,Berchem,Donderdag,06:45,Offline
BNI Feniks (Zonnebeke) - West Flanders,Zonnebeke,Donderdag,07:00,Offline
BNI Hermes (Ronse) - East Flanders,Ronse,Donderdag,07:00,Offline
BNI Houtland (Zedelgem) - West Flanders,Zedelgem,Donderdag,06:30,Offline
BNI Land van Aalst - Flemish Brabant,Aalst,Donderdag,06:45,Offline
BNI Leiestreek (Kruisem) - East Flanders,Kruisem,Donderdag,07:00,Offline
BNI Lessius - Kempen en Arr. Mechelen,Loenhout,Donderdag,06:45,Offline
BNI Leuven Artois - Flemish Brabant,Leuven,Donderdag,06:45,Offline
BNI Lokeren Durmestad (Lokeren) - East Flanders,Lokeren,Donderdag,07:00,Offline
BNI Pajottenland - Flemish Brabant,Gooik,Donderdag,06:45,Offline
BNI Permeke (Jabbeke) - West Flanders,Jabbeke,Donderdag,12:00,Offline
BNI Pompoenland (Kasterlee) - Limburg (Belgium),Kasterlee,Donderdag,06:30,Offline
BNI Rodenbach (Roeselare) - West Flanders,Roeselare,Donderdag,06:30,Offline
BNI Tanneken Sconyncx (Tielt) - West Flanders,Tielt,Donderdag,06:30,Offline
