chapter,location,day,time,type
BNI Antwerpen-Zuid (Wilrijk) - Antwerpen,Hoboken,Vrijdag,07:00,Offline
BNI B-Oost (Wommelgem) - Antwerpen,Wommelgem,Vrijdag,07:00,Offline
BNI Blossom (Sint-Truiden) - Limburg (Belgium),Sint-Truiden,Vrijdag,06:30,Offline
BNI Brussels Airport - Kastze - Flemish Brabant,1820 Steenokkerzeel,Vrijdag,06:45,Offline
BNI De Goede Hoop (Wevelgem) - West Flanders,Wevelgem,Vrijdag,06:30,Offline
BNI De Pekker (Izegem) - West Flanders,Izegem,Vrijdag,06:30,Offline
BNI Dender-mondig (Hamme) - East Flanders,Hamme,Vrijdag,07:00,Offline
BNI DieLoyale (Maldegem) - East Flanders,Maldegem,Vrijdag,07:00,Offline
BNI Genk Forte - Limburg (Belgium),Houthalen-Helchteren,Vrijdag,06:45,Offline
BNI Gevaerts (Beernem) - West Flanders,Beernem,Vrijdag,06:30,Offline
BNI Ghent Shake (Ghent) - East Flanders,Gent,Vrijdag,07:00,Offline
BNI Giants Wetteren (Oordegem) - East Flanders,Oordegem,Vrijdag,07:00,Offline
BNI Klein-Brabant - Kempen en Arr. Mechelen,Bornem,Vrijdag,06:45,Offline
BNI Knooppunt - Kempen en Arr. Mechelen,Ranst (Broechem),Vrijdag,06:45,Offline
BNI Maasland (Maasmechelen) - Limburg (Belgium),Maasmechelen,Vrijdag,06:45,Offline
BNI Maneblussers - Kempen en Arr. Mechelen,Mechelen,Vrijdag,06:30,Offline
BNI NOORD! - Kempen en Arr. Mechelen,Kapellen,Vrijdag,06:45,Offline
BNI Ternat De Geuzen - Flemish Brabant,Ternat,Vrijdag,06:45,Offline
BNI UitStekend (Sint-Gillis-waas) - East Flanders,Sint-Gillis-Waas,Vrijdag,07:00,Offline
BNI Witzand (Balen) - Limburg (Belgium),Balen,Vrijdag,06:30,Offline
BNI W€rkt Online - Flemish Brabant,Roosdaal,Vrijdag,06:30,Permanent online
BNI Yzer (Koksijde) - West Flanders,Oostduinkerke,Vrijdag,06:30,Offline
BNI Zottegem Egmont - Flemish Brabant,Zottegem-Erwetegem,Vrijdag,06:45,Offline
