chapter,location,day,time,type
BNI Authentiek (Lummen) - Limburg (Belgium),Lummen,Woensdag,06:30,Offline
BNI Brabo (Stabroek) - Antwerpen,Stabroek,Woensdag,06:30,Offline
BNI Cieper (Ieper) - West Flanders,Ieper,Woensdag,06:30,Offline
BNI De Metten (Brugge) - West Flanders,Brugge,Woensdag,07:15,Offline
BNI De Muur Geraardsbergen - Flemish Brabant,Geraardsbergen,Woensdag,06:45,Offline
BNI De Schelde (Zwijndrecht) - Antwerpen,Zwijndrecht,Woensdag,06:30,Offline
BNI Feniks - Flemish Brabant,Grimbergen,Woensdag,06:45,Offline
BNI Geel-Kempen (Laakdal) - Limburg (Belgium),Laakdal,Woensdag,06:45,Offline
BNI Gent Artevelde (Gentbrugge) - East Flanders,Gentbrugge,Woensdag,07:00,Offline
BNI Haven (Antwerpen) - Antwerpen,Antwerpen,Woensdag,07:00,Offline
BNI Leuven Mercator - Flemish Brabant,Haasrode,Woensdag,06:45,Offline
BNI Limburg Connect (Houthalen) - Limburg (Belgium),As,Woensdag,06:45,Offline
BNI Netwerk Mechelen - Kempen en Arr. Mechelen,Mechelen,Woensdag,06:45,Offline
BNI Optimus Gavere (Gavere-Semmerzake) - East Flanders,Gavere-Semmerzake,Woensdag,07:00,Offline
BNI Polygoon - Kempen en Arr. Mechelen,Brasschaat,Woensdag,06:45,Offline
BNI Puyenbroeck Lochristi (Destelbergen) - East Flanders,Destelbergen,Woensdag,07:00,Offline
BNI Rupel (Schelle) - Antwerpen,Schelle,Woensdag,06:45,Offline
BNI Sincfala (Knokke) - West Flanders,Zuienkerke,Woensdag,06:45,Offline
BNI Sint-Niklaas Markt (Beveren) - East Flanders,Beveren,Woensdag,07:00,Offline
BNI Voorkempen - Kempen en Arr. Mechelen,Schilde,Woensdag,06:45,Offline
